iter	MultiClass
220	1.791771322
221	1.791678888
222	1.791543469
223	1.791386325
224	1.791333431
225	1.791139322
226	1.791031656
227	1.790834676
228	1.790747101
229	1.79066544
230	1.790555294
231	1.790380361
232	1.790273983
233	1.790163579
234	1.790092616
235	1.789962515
236	1.789832378
237	1.789728407
238	1.789558124
239	1.789485311
240	1.789406137
241	1.789283067
242	1.789171231
243	1.789032141
244	1.788931158
245	1.788778012
246	1.788664625
247	1.788571733
248	1.788441311
249	1.78837432
250	1.788291967
251	1.788215663
252	1.788127098
253	1.788009355
254	1.787855401
255	1.787721936
256	1.787502728
257	1.787407595
258	1.787272393
259	1.787030333
260	1.786913125
261	1.786802582
262	1.786630099
263	1.78660368
264	1.786514181
265	1.786403545
266	1.786321544
267	1.786185503
268	1.786076499
269	1.785921214
270	1.785762213
271	1.785735301
272	1.785672723
273	1.785517478
274	1.785434763
275	1.78534987
276	1.785238704
277	1.785125709
278	1.78500894
279	1.784915806
280	1.784763103
281	1.78459539
282	1.784514375
283	1.784412318
284	1.784323553
285	1.784297277
286	1.784170429
287	1.784055993
288	1.783956234
289	1.783804767
290	1.783793903
291	1.783710786
292	1.783610527
293	1.783507415
294	1.783433664
295	1.783357678
296	1.78320348
297	1.783110512
298	1.783044869
299	1.782985597
300	1.782951084
301	1.782844778
302	1.782757343
303	1.782691524
304	1.782634642
305	1.782543965
306	1.782443314
307	1.782250787
308	1.782092863
309	1.781956794
310	1.7818984
311	1.781830157
312	1.781718449
313	1.781566212
314	1.781501446
315	1.781373688
316	1.781255392
317	1.781160524
318	1.781080877
319	1.780990731
320	1.780923543
321	1.780830389
322	1.780741026
323	1.780641551
324	1.780543724
325	1.780467631
326	1.780369294
327	1.780314281
328	1.780208058
329	1.780109142
330	1.779999106
331	1.779902052
332	1.779779072
333	1.779677988
334	1.779590206
335	1.779467498
336	1.779349415
337	1.779276473
338	1.77916821
339	1.779060185
340	1.779025499
341	1.778941313
342	1.778887804
343	1.778812494
344	1.77864133
345	1.77847002
346	1.778405853
347	1.778286297
348	1.778213264
349	1.778107484
350	1.778050165
351	1.777922451
352	1.777886185
353	1.777765236
354	1.777686729
355	1.77761068
356	1.777565577
357	1.777456894
358	1.777377086
359	1.777254753
360	1.777121184
361	1.777037476
362	1.776912978
363	1.776816294
364	1.776693964
365	1.776580474
366	1.776475172
367	1.776364935
368	1.77619423
369	1.77615842
370	1.77602227
371	1.775949215
372	1.77584097
373	1.775752488
374	1.775664756
375	1.775581359
376	1.775451891
377	1.775344592
378	1.775306346
379	1.775189043
380	1.775032359
381	1.774868912
382	1.774825741
383	1.774676807
384	1.774562306
385	1.774483049
386	1.77434966
387	1.774286791
388	1.77423158
389	1.774126113
390	1.774044043
391	1.773946068
392	1.773887897
393	1.773793676
394	1.773732776
395	1.773608908
396	1.773511465
397	1.773338568
398	1.773207393
399	1.77309173
400	1.77301262
401	1.772923578
402	1.772860104
403	1.772770881
404	1.772697191
405	1.772620278
406	1.772531543
407	1.772469339
408	1.77237716
409	1.772291651
410	1.772202389
411	1.772152664
412	1.772030164
413	1.771954074
414	1.77187182
415	1.771764663
416	1.771687904
417	1.771581676
418	1.771488168
419	1.771389215
420	1.771337821
421	1.771239076
422	1.771173573
423	1.771066637
424	1.770961295
425	1.770828002
426	1.770770302
427	1.77069427
428	1.770594052
429	1.770547685
430	1.770400548
431	1.770338052
432	1.77015625
433	1.770075871
434	1.76990962
435	1.769797879
436	1.769736396
437	1.769679585
438	1.769593137
439	1.769513918
440	1.769449437
441	1.769328293
442	1.769255186
443	1.769156527
444	1.769129595
445	1.769002541
446	1.768983411
447	1.768906731
448	1.768804796
449	1.768743365
450	1.76866406
451	1.768549779
452	1.768437108
453	1.768384532
454	1.768329405
455	1.768293222
456	1.768203959
457	1.768105943
458	1.767992585
459	1.767859077
460	1.767773555
461	1.767699506
462	1.767630853
463	1.767561226
464	1.767485104
465	1.767396871
466	1.76723148
467	1.767141024
468	1.767043695
469	1.766962233
470	1.766899291
471	1.766831501
472	1.766775812
473	1.766684214
474	1.766602184
475	1.766539601
476	1.766476507
477	1.766383487
478	1.766274798
479	1.766204892
480	1.766064984
481	1.765982213
482	1.765869176
483	1.765800065
484	1.765723507
485	1.765642974
486	1.76554776
487	1.765357424
488	1.765304197
489	1.765259542
490	1.765149664
491	1.765113187
492	1.764990825
493	1.764941972
494	1.764851251
495	1.764801446
496	1.764751347
497	1.764694108
498	1.764603684
499	1.764515539
500	1.764456664
501	1.764377613
502	1.764312339
503	1.764211244
504	1.764124222
505	1.764033962
506	1.763969617
507	1.763874187
508	1.763800346
509	1.763727846
510	1.763688857
511	1.763607785
512	1.763588962
513	1.76352167
514	1.763449912
515	1.763334502
516	1.763259469
517	1.763194518
518	1.763148287
519	1.763076865
520	1.763019615
521	1.762930497
522	1.762831638
523	1.762697742
524	1.762680621
525	1.762614532
526	1.762534206
527	1.762464521
528	1.762397331
529	1.762310955
530	1.762172177
531	1.762089379
532	1.762000535
533	1.761893138
534	1.761770101
535	1.76167787
536	1.761601338
537	1.761544023
538	1.76148219
539	1.761385049
540	1.761300835
541	1.76121002
542	1.761186362
543	1.761119231
544	1.761072109
545	1.761025255
546	1.760971348
547	1.760860947
548	1.760797162
549	1.760698371
550	1.76062168
551	1.760564642
552	1.760480688
553	1.760430427
554	1.760376561
555	1.760290951
556	1.760193903
557	1.760090914
558	1.760044946
559	1.759967316
560	1.759920496
561	1.759858148
562	1.759797083
563	1.759735262
564	1.759673796
565	1.759563861
566	1.759478001
567	1.759446372
568	1.759324219
569	1.759290472
570	1.759212832
571	1.759137735
572	1.759038766
573	1.758965855
574	1.758905211
575	1.75882003
576	1.758722463
577	1.758668331
578	1.758608961
579	1.758462566
580	1.758403742
581	1.758316655
582	1.758186014
583	1.758124341
584	1.758066243
585	1.758005328
586	1.757977951
587	1.757923371
588	1.757855367
589	1.757772894
590	1.75772204
591	1.757643981
592	1.757589574
593	1.757526999
594	1.757447592
595	1.75737107
596	1.75724771
597	1.757143544
598	1.757097044
599	1.756975287
600	1.756880926
601	1.756833145
602	1.756768255
603	1.75672541
604	1.756674081
605	1.756623331
606	1.756485706
607	1.756405777
608	1.756384486
609	1.756354976
610	1.756278148
611	1.756246257
612	1.756165206
613	1.756104055
614	1.755953628
615	1.75591323
616	1.755848557
617	1.755743269
618	1.755682751
619	1.755639173
620	1.755514438
621	1.755425555
622	1.755372569
623	1.755269576
624	1.755201441
625	1.755126822
626	1.755076273
627	1.754944637
628	1.754847986
629	1.75474541
630	1.754632634
631	1.754595136
632	1.754522815
633	1.75439695
634	1.754300409
635	1.754208787
636	1.754113681
637	1.754077721
638	1.754000849
639	1.753937668
640	1.753861304
641	1.753774997
642	1.753733535
643	1.753706945
644	1.753650581
645	1.753588868
646	1.75349042
647	1.753419843
648	1.753327874
649	1.753297362
650	1.753247064
651	1.753179903
652	1.753129538
653	1.75305913
654	1.752991742
655	1.75289018
656	1.752833305
657	1.75276382
658	1.752707234
659	1.752613523
660	1.752504689
661	1.752426106
662	1.752371345
663	1.752300442
664	1.752251389
665	1.752154508
666	1.752093235
667	1.752024763
668	1.751931065
669	1.751856987
670	1.751803595
671	1.751735204
672	1.751690923
673	1.751651924
674	1.751609833
675	1.751525122
676	1.751480271
677	1.751342946
678	1.751241689
679	1.751173318
680	1.751120138
681	1.751038882
682	1.751015353
683	1.750959917
684	1.750929374
685	1.750829738
686	1.75072659
687	1.750644871
688	1.750595268
689	1.750561645
690	1.750485079
691	1.750427594
692	1.75036655
693	1.75033778
694	1.750279541
695	1.750185991
696	1.7501592
697	1.750050471
698	1.749968154
699	1.749918772
700	1.749867707
701	1.749786729
702	1.749717323
703	1.749671276
704	1.749545439
705	1.749440017
706	1.749385041
707	1.749283847
708	1.749210447
709	1.749185242
710	1.749113002
711	1.749082199
712	1.749001276
713	1.7489378
714	1.748883743
715	1.748835049
716	1.748740624
717	1.748629774
718	1.74859085
719	1.74852265
720	1.748420573
721	1.748386712
722	1.748345262
723	1.748288169
724	1.7482174
725	1.748136902
726	1.748101098
727	1.748023488
728	1.747957478
729	1.747869909
730	1.747772546
731	1.747707624
732	1.747667818
733	1.747588192
734	1.747516132
735	1.747434735
736	1.747332276
737	1.747247171
738	1.747172667
739	1.747084679
740	1.746976418
741	1.746896201
742	1.746837947
743	1.74674872
744	1.746607937
745	1.746511896
746	1.746460775
747	1.746386569
748	1.746299966
749	1.746246908
750	1.746201649
751	1.74614599
752	1.746085759
753	1.745988423
754	1.745916687
755	1.745875951
756	1.745800547
757	1.745707394
758	1.745649541
759	1.745585107
760	1.745514941
761	1.745448785
762	1.745416141
763	1.745312851
764	1.745228254
765	1.745170538
766	1.745118938
767	1.745051656
768	1.744970715
769	1.744928367
770	1.744858634
771	1.744819537
772	1.744721149
773	1.744631762
774	1.744557885
775	1.744534244
776	1.744467325
777	1.744405172
778	1.744354563
779	1.74427939
780	1.744222279
781	1.744169074
782	1.744113798
783	1.744063613
784	1.743966272
785	1.743869419
786	1.743802152
787	1.743722276
788	1.743653681
789	1.74362135
790	1.743557635
791	1.743436455
792	1.743387935
793	1.743289659
794	1.743239392
795	1.743159731
796	1.743091677
797	1.742994368
798	1.742937303
799	1.742896095
800	1.742826386
801	1.742771991
802	1.742704559
803	1.742646445
804	1.74260566
805	1.742504275
806	1.742436798
807	1.742398191
808	1.742376155
809	1.74232775
810	1.742274532
811	1.742225572
812	1.742169225
813	1.742124264
814	1.742014054
815	1.74191642
816	1.741857458
817	1.741824399
818	1.741727928
819	1.741668751
820	1.741606816
821	1.741519246
822	1.741453301
823	1.74134787
824	1.741300849
825	1.741253221
826	1.74113323
827	1.741044343
828	1.740963053
829	1.74091579
830	1.740828607
831	1.740766464
832	1.740721077
833	1.740664773
834	1.740566639
835	1.740509454
836	1.740449966
837	1.74035677
838	1.740313864
839	1.740264518
840	1.740221845
841	1.740144911
842	1.740106647
843	1.740067665
844	1.739997367
845	1.739958953
846	1.739925218
847	1.739880916
848	1.739810149
849	1.739757143
850	1.739713456
851	1.739631493
852	1.739571238
853	1.739487688
854	1.739441928
855	1.739357543
856	1.739299169
857	1.739250833
858	1.739171796
859	1.739118971
860	1.739072453
861	1.739027207
862	1.73897835
863	1.73888962
864	1.738831067
865	1.738759344
866	1.738714435
867	1.738621299
868	1.738528871
869	1.738493347
870	1.738456187
871	1.738414183
872	1.738364454
873	1.73828964
874	1.738247944
875	1.738180566
876	1.738140438
877	1.738043202
878	1.737981979
879	1.737943694
880	1.737906399
881	1.737836416
882	1.737746605
883	1.737694982
884	1.737646052
885	1.737585109
886	1.737551584
887	1.737510207
888	1.737479766
889	1.737391021
890	1.737344804
891	1.737248862
892	1.737193326
893	1.737156744
894	1.737094483
895	1.737036327
896	1.737002505
897	1.736975955
898	1.736928466
899	1.736866891
900	1.736781353
901	1.736699536
902	1.73663441
903	1.736584355
904	1.736511229
905	1.736415717
906	1.736329236
907	1.736283011
908	1.736217109
909	1.736147441
910	1.736087005
911	1.736035154
912	1.735975289
913	1.735917671
914	1.735814236
915	1.735748532
916	1.73571196
917	1.735674247
918	1.735612106
919	1.735541654
920	1.735465432
921	1.735387605
922	1.73530521
923	1.735236132
924	1.735147933
925	1.735063786
926	1.735001912
927	1.734956468
928	1.734869274
929	1.73480812
930	1.73477208
931	1.734700361
932	1.734600467
933	1.734536576
934	1.734453663
935	1.734389908
936	1.734321478
937	1.734261894
938	1.734202905
939	1.734141141
940	1.73410508
941	1.734072076
942	1.734001738
943	1.733950403
944	1.733856068
945	1.733802033
946	1.733721718
947	1.733630017
948	1.733549555
949	1.73350579
950	1.733468048
951	1.733400434
952	1.733365727
953	1.733307102
954	1.733267782
955	1.733213915
956	1.733172128
957	1.733099196
958	1.733066673
959	1.732986306
960	1.732942848
961	1.732900489
962	1.732834061
963	1.732799561
964	1.732755499
965	1.73270442
966	1.732645859
967	1.732584985
968	1.732496983
969	1.732443596
970	1.732365169
971	1.732302948
972	1.732248875
973	1.732211537
974	1.73217283
975	1.732071109
976	1.731998084
977	1.731927439
978	1.731869672
979	1.731802883
980	1.731731045
981	1.731684134
982	1.731642308
983	1.731597955
984	1.731541967
985	1.731495792
986	1.731447752
987	1.731395707
988	1.731344896
989	1.731278424
990	1.731223556
991	1.731128395
992	1.731055388
993	1.731010622
994	1.730962034
995	1.730874099
996	1.730821604
997	1.730773057
998	1.730727506
999	1.73065195
1000	1.7306163
1001	1.730577253
1002	1.730502381
1003	1.730405952
1004	1.730333819
1005	1.730276966
1006	1.730249783
1007	1.730194674
1008	1.730114249
1009	1.73005212
1010	1.729977884
1011	1.729888897
1012	1.729822198
1013	1.72977895
1014	1.729714843
1015	1.729652514
1016	1.729605251
1017	1.729535935
1018	1.729488491
1019	1.729442439
1020	1.729357194
1021	1.72929309
1022	1.72926247
1023	1.729186043
1024	1.729102864
1025	1.729062161
1026	1.728999072
1027	1.728961451
1028	1.728890737
1029	1.728827868
1030	1.728776071
1031	1.728690736
1032	1.728606535
1033	1.728556553
1034	1.728468755
1035	1.728425192
1036	1.728379174
1037	1.728364035
1038	1.72832394
1039	1.72823689
1040	1.728192772
1041	1.72815369
1042	1.728098815
1043	1.728029037
1044	1.727970537
1045	1.727903713
1046	1.727837466
1047	1.727758953
1048	1.727723242
1049	1.72766413
1050	1.727635088
1051	1.727568949
1052	1.727518818
1053	1.727443241
1054	1.727372201
1055	1.727319392
1056	1.727270887
1057	1.727189339
1058	1.727142207
1059	1.727072793
1060	1.727042149
1061	1.726972034
1062	1.726918158
1063	1.726893784
1064	1.726835656
1065	1.726757724
1066	1.726703745
1067	1.726654197
1068	1.726619329
1069	1.726582244
1070	1.726548088
1071	1.726488015
1072	1.726429917
1073	1.726385364
1074	1.726364745
1075	1.726294055
1076	1.726249642
1077	1.726210302
1078	1.726148935
1079	1.726108167
1080	1.7260787
1081	1.726032644
1082	1.725976198
1083	1.725924637
1084	1.725880857
1085	1.725803065
1086	1.725747948
1087	1.72570111
1088	1.725663451
1089	1.725619039
1090	1.725575635
1091	1.725498907
1092	1.725431538
1093	1.725392876
1094	1.725348125
1095	1.725299323
1096	1.725234952
1097	1.725208459
1098	1.72513042
1099	1.725071208
1100	1.725035912
1101	1.724938891
1102	1.724902084
1103	1.72486732
1104	1.724808907
1105	1.724772955
1106	1.724704147
1107	1.724659584
1108	1.724622869
1109	1.724590934
1110	1.724544758
1111	1.724490049
1112	1.724441603
1113	1.72438314
1114	1.724326673
1115	1.724258739
1116	1.72416637
1117	1.724077539
1118	1.724014554
1119	1.723927815
1120	1.723885261
1121	1.723812737
1122	1.72377745
1123	1.723720844
1124	1.723678907
1125	1.723614139
1126	1.723567664
1127	1.72352675
1128	1.723460659
1129	1.723429901
1130	1.723379986
1131	1.723312433
1132	1.723268061
1133	1.723211338
1134	1.723121528
1135	1.723065348
1136	1.722988262
1137	1.722935013
1138	1.722849298
1139	1.722789879
1140	1.722717235
1141	1.72262191
1142	1.722550214
1143	1.722498433
1144	1.72248475
1145	1.722450573
1146	1.722407164
1147	1.722365104
1148	1.722317523
1149	1.722251852
1150	1.722198304
1151	1.722132113
1152	1.722094575
1153	1.722042497
1154	1.722008037
1155	1.721939199
1156	1.721889249
1157	1.721825073
1158	1.721764011
1159	1.721713088
1160	1.721671241
1161	1.721597338
1162	1.721549926
1163	1.72150767
1164	1.721440236
1165	1.72140438
1166	1.721319344
1167	1.721281183
1168	1.721226251
1169	1.721164682
1170	1.721064679
1171	1.721047364
1172	1.721007107
1173	1.720974526
1174	1.720876797
1175	1.720789141
1176	1.720717177
1177	1.720668863
1178	1.720631176
1179	1.72056374
1180	1.720521875
1181	1.720450647
1182	1.720407848
1183	1.720373193
1184	1.720337583
1185	1.720273664
1186	1.720229398
1187	1.720170368
1188	1.720105352
1189	1.720057688
1190	1.720023725
1191	1.719989401
1192	1.719922448
1193	1.719842712
1194	1.719800491
1195	1.719769881
1196	1.719737892
1197	1.719664874
1198	1.719634975
1199	1.719596135
