iter	Passed	Remaining
399	36556	73112
400	36645	73016
401	36726	72905
402	36807	72793
403	36897	72698
404	36980	72592
405	37072	72501
406	37162	72408
407	37246	72301
408	37328	72193
409	37415	72092
410	37506	72000
411	37591	71899
412	37678	71799
413	37766	71701
414	37855	71606
415	37947	71516
416	38031	71411
417	38121	71317
418	38205	71213
419	38290	71110
420	38376	71009
421	38467	70918
422	38553	70818
423	38645	70728
424	38733	70631
425	38828	70547
426	38920	70458
427	39011	70367
428	39097	70266
429	39185	70169
430	39275	70075
431	39363	69980
432	39458	69894
433	39553	69811
434	39644	69720
435	39736	69629
436	39832	69546
437	39921	69452
438	40016	69367
439	40110	69282
440	40200	69188
441	40295	69104
442	40389	69017
443	40484	68932
444	40576	68843
445	40671	68759
446	40763	68668
447	40857	68582
448	40949	68492
449	41038	68398
450	41135	68315
451	41232	68233
452	41322	68141
453	41416	68054
454	41513	67972
455	41603	67879
456	41696	67790
457	41793	67709
458	41889	67624
459	41980	67534
460	42075	67448
461	42169	67362
462	42262	67273
463	42362	67195
464	42475	67138
465	42570	67052
466	42657	66954
467	42749	66864
468	42850	66788
469	42950	66709
470	43042	66619
471	43134	66529
472	43230	66445
473	43315	66344
474	43412	66260
475	43515	66186
476	43613	66105
477	43706	66017
478	43806	65939
479	43906	65859
480	44012	65789
481	44103	65697
482	44204	65619
483	44300	65535
484	44401	65458
485	44496	65371
486	44591	65284
487	44681	65191
488	44777	65105
489	44872	65018
490	44965	64929
491	45060	64843
492	45150	64749
493	45270	64697
494	45391	64647
495	45496	64575
496	45598	64498
497	45737	64472
498	45928	64521
499	46149	64609
500	46308	64610
501	46447	64582
502	46570	64531
503	46684	64468
504	46784	64385
505	46899	64324
506	47008	64254
507	47116	64182
508	47226	64113
509	47337	64045
510	47435	63959
511	47548	63892
512	47657	63821
513	47762	63745
514	47871	63673
515	47978	63598
516	48080	63518
517	48179	63433
518	48285	63356
519	48396	63287
520	48508	63219
521	48619	63149
522	48720	63065
523	48820	62981
524	48923	62901
525	49031	62826
526	49131	62743
527	49234	62662
528	49348	62594
529	49452	62515
530	49543	62418
531	49644	62335
532	49747	62254
533	49856	62180
534	49944	62080
535	50039	61989
536	50135	61899
537	50236	61815
538	50336	61729
539	50443	61653
540	50540	61563
541	50639	61476
542	50734	61385
543	50840	61307
544	50934	61215
545	51031	61126
546	51128	61036
547	51227	60948
548	51330	60867
549	51429	60779
550	51534	60700
551	51648	60631
552	51750	60546
553	51855	60467
554	51960	60385
555	52053	60292
556	52145	60196
557	52238	60101
558	52329	60005
559	52427	59916
560	52526	59829
561	52620	59736
562	52713	59642
563	52811	59553
564	52904	59459
565	52999	59367
566	53090	59270
567	53186	59179
568	53283	59089
569	53391	59011
570	53486	58919
571	53585	58831
572	53682	58741
573	53784	58656
574	53875	58559
575	53971	58469
576	54070	58381
577	54160	58283
578	54252	58187
579	54347	58095
580	54439	57999
581	54535	57908
582	54625	57810
583	54721	57719
584	54813	57624
585	54906	57529
586	55000	57437
587	55089	57338
588	55184	57245
589	55280	57154
590	55371	57057
591	55472	56971
592	55570	56882
593	55666	56790
594	55760	56698
595	55855	56604
596	55948	56510
597	56040	56414
598	56127	56314
599	56224	56224
600	56318	56130
601	56410	56036
602	56506	55944
603	56607	55858
604	56705	55768
605	56802	55677
606	56900	55587
607	57000	55500
608	57100	55412
609	57195	55320
610	57287	55224
611	57386	55136
612	57491	55053
613	57588	54962
614	57687	54873
615	57777	54776
616	57871	54682
617	57972	54595
618	58066	54502
619	58162	54410
620	58259	54319
621	58364	54235
622	58454	54138
623	58541	54037
624	58643	53952
625	58740	53861
626	58832	53765
627	58928	53673
628	59024	53582
629	59126	53495
630	59220	53401
631	59316	53309
632	59411	53216
633	59505	53122
634	59597	53027
635	59700	52942
636	59798	52851
637	59896	52761
638	59995	52671
639	60092	52581
640	60191	52491
641	60287	52399
642	60380	52304
643	60474	52210
644	60564	52113
645	60663	52023
646	60760	51933
647	60860	51843
648	60955	51751
649	61054	51661
650	61146	51565
651	61240	51472
652	61335	51379
653	61426	51282
654	61517	51186
655	61615	51095
656	61707	51000
657	61805	50909
658	61894	50811
659	61988	50718
