iter	Passed	Remaining
422	2107	3871
423	2112	3866
424	2117	3862
425	2122	3857
426	2127	3851
427	2132	3846
428	2137	3841
429	2142	3836
430	2147	3831
431	2151	3825
432	2156	3819
433	2160	3813
434	2165	3808
435	2170	3803
436	2174	3796
437	2179	3792
438	2184	3786
439	2188	3780
440	2193	3774
441	2197	3769
442	2202	3762
443	2206	3757
444	2211	3751
445	2215	3746
446	2220	3739
447	2225	3735
448	2229	3729
449	2233	3723
450	2238	3717
451	2243	3712
452	2247	3705
453	2252	3701
454	2257	3696
455	2261	3690
456	2266	3684
457	2271	3679
458	2275	3672
459	2279	3667
460	2284	3661
461	2288	3656
462	2293	3651
463	2297	3645
464	2302	3639
465	2307	3634
466	2311	3628
467	2316	3623
468	2321	3618
469	2325	3612
470	2329	3606
471	2334	3601
472	2340	3596
473	2344	3590
474	2348	3584
475	2353	3579
476	2357	3573
477	2361	3567
478	2366	3562
479	2370	3555
480	2375	3550
481	2380	3545
482	2384	3539
483	2389	3534
484	2393	3529
485	2397	3522
486	2402	3517
487	2407	3512
488	2411	3506
489	2416	3501
490	2420	3495
491	2425	3490
492	2430	3484
493	2435	3479
494	2439	3474
495	2444	3469
496	2449	3464
497	2454	3459
498	2458	3453
499	2463	3448
500	2467	3443
501	2472	3437
502	2477	3432
503	2481	3427
504	2486	3421
505	2490	3416
506	2495	3410
507	2499	3404
508	2503	3399
509	2508	3394
510	2512	3388
511	2517	3382
512	2522	3377
513	2526	3372
514	2531	3366
515	2536	3362
516	2541	3357
517	2545	3351
518	2550	3347
519	2556	3343
520	2561	3338
521	2565	3332
522	2571	3328
523	2575	3322
524	2580	3317
525	2585	3312
526	2590	3308
527	2595	3303
528	2599	3297
529	2604	3292
530	2609	3287
531	2614	3282
532	2619	3277
533	2623	3272
534	2629	3268
535	2634	3263
536	2639	3258
537	2644	3253
538	2649	3248
539	2653	3243
540	2658	3238
541	2664	3234
542	2668	3228
543	2673	3223
544	2678	3218
545	2682	3213
546	2686	3207
547	2691	3202
548	2696	3197
549	2700	3191
550	2705	3186
551	2710	3181
552	2714	3176
553	2719	3170
554	2723	3165
555	2728	3160
556	2732	3154
557	2737	3150
558	2742	3145
559	2746	3139
560	2751	3134
561	2756	3129
562	2761	3124
563	2766	3119
564	2771	3114
565	2776	3109
566	2780	3104
567	2785	3099
568	2790	3094
569	2795	3089
570	2800	3085
571	2805	3080
572	2810	3075
573	2814	3069
574	2819	3064
575	2823	3059
576	2828	3053
577	2833	3048
578	2838	3044
579	2842	3039
580	2847	3033
581	2851	3028
582	2856	3023
583	2861	3018
584	2865	3012
585	2871	3008
586	2875	3003
587	2879	2997
588	2885	2992
589	2890	2988
590	2894	2983
591	2899	2977
592	2904	2972
593	2908	2967
594	2912	2961
595	2918	2957
596	2922	2952
597	2927	2946
598	2932	2941
599	2937	2937
600	2941	2931
601	2946	2927
602	2951	2922
603	2956	2917
604	2961	2912
605	2965	2907
606	2970	2901
607	2975	2897
608	2979	2891
609	2984	2886
610	2988	2881
611	2993	2876
612	2998	2871
613	3002	2865
614	3006	2860
615	3011	2855
616	3016	2850
617	3021	2845
618	3026	2840
619	3031	2835
620	3036	2830
621	3040	2825
622	3045	2820
623	3050	2815
624	3055	2810
625	3060	2806
626	3065	2801
627	3070	2796
628	3074	2791
629	3079	2786
630	3084	2781
631	3089	2776
632	3094	2771
633	3099	2767
634	3103	2761
635	3108	2756
636	3113	2751
637	3118	2746
638	3122	2741
639	3128	2737
640	3141	2739
641	3163	2749
642	3185	2759
643	3208	2770
644	3228	2778
645	3249	2786
646	3271	2796
647	3293	2805
648	3316	2815
649	3339	2825
650	3360	2834
651	3381	2842
652	3404	2851
653	3426	2860
654	3449	2870
655	3473	2880
656	3493	2887
657	3515	2895
658	3537	2903
659	3557	2911
660	3580	2920
661	3603	2928
662	3624	2935
663	3643	2940
664	3666	2949
665	3689	2957
666	3711	2965
667	3732	2972
668	3756	2981
669	3778	2988
670	3800	2996
671	3821	3002
672	3842	3008
673	3863	3015
674	3885	3022
675	3909	3030
676	3931	3037
677	3953	3043
678	3974	3049
679	3994	3054
680	4017	3061
681	4039	3067
682	4059	3072
683	4081	3078
684	4103	3084
685	4134	3097
686	4163	3108
687	4187	3116
688	4209	3121
689	4232	3128
690	4255	3134
691	4278	3140
692	4300	3145
693	4321	3150
694	4344	3156
695	4365	3161
696	4389	3167
697	4412	3173
698	4433	3177
699	4456	3183
700	4480	3189
701	4501	3193
702	4526	3200
703	4551	3206
704	4573	3211
705	4596	3216
706	4618	3220
707	4641	3225
708	4663	3229
709	4685	3233
710	4709	3239
711	4733	3243
712	4754	3247
713	4776	3251
714	4798	3255
715	4822	3259
716	4846	3264
717	4870	3269
718	4893	3273
719	4916	3277
720	4937	3280
721	4961	3284
722	4985	3289
723	5011	3295
724	5037	3300
725	5060	3303
726	5086	3309
727	5111	3313
728	5137	3319
729	5161	3323
730	5187	3328
731	5215	3334
732	5241	3339
733	5268	3344
734	5294	3349
735	5319	3353
736	5346	3358
737	5372	3363
738	5398	3367
739	5424	3371
740	5448	3374
741	5475	3379
742	5500	3383
743	5524	3386
744	5550	3390
745	5575	3392
746	5601	3396
747	5628	3401
748	5654	3404
749	5679	3407
750	5705	3411
751	5732	3415
752	5758	3418
753	5783	3420
754	5812	3425
755	5839	3429
756	5866	3433
757	5890	3434
758	5914	3436
759	5940	3439
760	5963	3440
761	5989	3442
762	6016	3446
763	6042	3448
764	6066	3449
765	6092	3451
766	6120	3455
767	6149	3459
768	6177	3462
769	6203	3464
770	6230	3466
771	6254	3467
772	6277	3467
773	6304	3469
774	6329	3471
775	6356	3472
776	6380	3473
777	6405	3474
778	6430	3475
779	6453	3475
780	6476	3474
781	6500	3474
782	6525	3475
783	6548	3474
784	6572	3474
785	6594	3473
786	6617	3472
787	6641	3472
788	6664	3471
789	6687	3470
790	6709	3469
791	6731	3467
792	6752	3465
793	6773	3463
794	6795	3462
795	6818	3460
796	6838	3457
797	6860	3456
798	6883	3454
799	6905	3452
800	6927	3450
801	6949	3448
802	6974	3447
803	6996	3446
804	7017	3443
805	7039	3441
806	7062	3439
807	7083	3436
808	7104	3433
809	7126	3431
810	7149	3429
811	7171	3426
812	7194	3424
813	7216	3422
814	7238	3419
815	7259	3416
816	7283	3414
817	7304	3411
818	7327	3408
819	7349	3405
820	7371	3402
821	7393	3399
822	7415	3397
823	7438	3394
824	7461	3391
825	7483	3388
826	7506	3385
827	7528	3382
828	7551	3379
829	7575	3377
830	7597	3373
831	7621	3370
832	7644	3367
833	7668	3365
834	7690	3361
835	7713	3358
836	7736	3355
837	7755	3350
838	7775	3345
839	7799	3342
840	7821	3338
841	7844	3335
842	7867	3331
843	7890	3328
844	7912	3324
845	7935	3320
846	7956	3315
847	7977	3311
848	7997	3306
849	8012	3299
850	8022	3290
851	8029	3279
852	8036	3269
853	8043	3258
854	8049	3248
855	8054	3236
856	8059	3225
857	8064	3214
858	8068	3203
859	8072	3191
860	8077	3180
861	8082	3169
862	8086	3157
863	8091	3146
864	8095	3135
865	8100	3124
866	8104	3112
867	8109	3101
868	8114	3090
869	8119	3079
870	8123	3068
871	8128	3057
872	8132	3046
873	8137	3035
874	8142	3024
875	8148	3013
876	8153	3002
877	8158	2991
878	8162	2980
879	8166	2969
880	8171	2958
881	8175	2947
882	8180	2936
883	8185	2925
884	8190	2915
885	8194	2904
886	8198	2893
887	8203	2882
888	8208	2871
889	8213	2860
890	8219	2850
891	8225	2840
892	8230	2829
893	8235	2819
894	8241	2808
895	8246	2798
896	8252	2787
897	8257	2777
898	8262	2766
899	8267	2755
900	8272	2745
901	8277	2734
902	8282	2724
903	8287	2713
904	8293	2703
905	8298	2692
906	8303	2682
907	8308	2671
908	8313	2661
909	8318	2650
910	8324	2640
911	8329	2630
912	8335	2620
913	8340	2609
914	8345	2599
915	8351	2589
916	8356	2578
917	8362	2568
918	8368	2558
919	8374	2548
920	8380	2538
921	8385	2528
922	8390	2518
923	8396	2508
924	8402	2498
925	8408	2488
926	8414	2477
927	8419	2467
928	8424	2457
929	8430	2447
930	8435	2437
931	8441	2427
932	8447	2417
933	8452	2407
934	8457	2397
935	8463	2387
936	8468	2377
937	8474	2367
938	8480	2357
939	8485	2347
940	8490	2336
941	8496	2327
942	8501	2316
943	8507	2307
944	8512	2297
945	8517	2287
946	8524	2277
947	8529	2267
948	8535	2257
949	8541	2247
950	8546	2237
951	8551	2227
952	8556	2217
953	8560	2207
954	8564	2197
955	8569	2187
956	8573	2177
957	8578	2166
958	8583	2157
959	8588	2147
960	8592	2137
961	8597	2127
962	8602	2117
963	8607	2107
964	8612	2097
965	8618	2087
966	8623	2077
967	8628	2067
968	8633	2058
969	8638	2048
970	8643	2038
971	8648	2028
972	8652	2018
973	8657	2008
974	8663	1999
975	8668	1989
976	8673	1979
977	8679	1970
978	8684	1960
979	8691	1951
980	8696	1941
981	8701	1931
982	8707	1922
983	8712	1912
984	8717	1902
985	8723	1893
986	8729	1883
987	8734	1874
988	8740	1864
989	8745	1855
990	8751	1845
991	8757	1836
992	8762	1826
993	8768	1817
994	8773	1807
995	8777	1797
996	8782	1788
997	8787	1778
998	8792	1769
999	8797	1759
1000	8802	1749
1001	8807	1740
1002	8812	1730
1003	8817	1721
1004	8821	1711
1005	8826	1702
1006	8831	1692
1007	8835	1683
1008	8840	1673
1009	8845	1664
1010	8849	1654
1011	8854	1644
1012	8859	1635
1013	8864	1626
1014	8869	1616
1015	8874	1607
1016	8880	1597
1017	8885	1588
1018	8890	1579
1019	8895	1569
1020	8900	1560
1021	8906	1551
1022	8912	1542
1023	8918	1532
1024	8924	1523
1025	8929	1514
1026	8935	1505
1027	8940	1495
1028	8945	1486
1029	8950	1477
1030	8955	1468
1031	8960	1458
1032	8966	1449
1033	8970	1440
1034	8975	1430
1035	8980	1421
1036	8985	1412
1037	8989	1403
1038	8994	1393
1039	8999	1384
1040	9003	1375
1041	9008	1365
1042	9013	1356
1043	9017	1347
1044	9022	1338
1045	9027	1329
1046	9031	1319
1047	9036	1310
1048	9041	1301
1049	9045	1292
1050	9050	1283
1051	9055	1273
1052	9060	1264
1053	9064	1255
1054	9069	1246
1055	9075	1237
1056	9080	1228
1057	9084	1219
1058	9089	1210
1059	9094	1201
1060	9098	1191
1061	9103	1182
1062	9108	1173
1063	9113	1164
1064	9117	1155
1065	9122	1146
1066	9127	1137
1067	9131	1128
1068	9136	1119
1069	9141	1110
1070	9146	1101
1071	9150	1092
1072	9155	1083
1073	9160	1074
1074	9164	1065
1075	9169	1056
1076	9174	1047
1077	9178	1038
1078	9183	1029
1079	9188	1020
1080	9192	1011
1081	9197	1003
1082	9202	994
1083	9206	985
1084	9211	976
1085	9216	967
1086	9220	958
1087	9224	949
1088	9229	940
1089	9233	931
1090	9238	922
1091	9243	914
1092	9247	905
1093	9251	896
1094	9257	887
1095	9262	878
1096	9266	870
1097	9271	861
1098	9276	852
1099	9280	843
1100	9284	834
1101	9289	826
1102	9294	817
1103	9298	808
1104	9303	799
1105	9308	791
1106	9312	782
1107	9317	773
1108	9322	764
1109	9326	756
1110	9331	747
1111	9336	738
1112	9340	730
1113	9345	721
1114	9350	712
1115	9354	704
1116	9359	695
1117	9364	686
1118	9369	678
1119	9374	669
1120	9378	660
1121	9383	652
1122	9387	643
1123	9392	635
1124	9396	626
1125	9401	617
1126	9405	609
1127	9410	600
1128	9415	592
1129	9420	583
1130	9424	574
1131	9429	566
1132	9433	557
1133	9438	549
1134	9443	540
1135	9447	532
1136	9452	523
1137	9457	515
1138	9462	506
1139	9466	498
1140	9471	489
1141	9475	481
1142	9479	472
1143	9484	464
1144	9488	455
1145	9493	447
1146	9498	438
1147	9502	430
1148	9507	421
1149	9512	413
1150	9516	405
1151	9521	396
1152	9526	388
1153	9531	379
1154	9535	371
1155	9540	363
1156	9546	354
1157	9551	346
1158	9556	338
1159	9561	329
1160	9566	321
1161	9571	313
1162	9575	304
1163	9581	296
1164	9586	287
1165	9590	279
1166	9595	271
1167	9601	263
1168	9606	254
1169	9611	246
1170	9616	238
1171	9621	229
1172	9626	221
1173	9631	213
1174	9636	205
1175	9641	196
1176	9646	188
1177	9651	180
1178	9656	171
1179	9661	163
1180	9666	155
1181	9671	147
1182	9675	139
1183	9680	130
1184	9685	122
1185	9690	114
1186	9695	106
1187	9700	97
1188	9705	89
1189	9709	81
1190	9714	73
1191	9719	65
1192	9724	57
1193	9728	48
1194	9734	40
1195	9739	32
1196	9744	24
1197	9748	16
1198	9753	8
1199	9757	0
